,county,state,Lon,Lat
2139,Williams,North Dakota,-103.4958386,48.3629861
2140,Perry,Ohio,-81.140932,41.760326
2141,Malheur,Oregon,-117.6916892,43.1023481
2142,Wallowa,Oregon,-117.5277377,45.5700002
2143,Bedford,Pennsylvania,-78.5039069,40.0186921
2144,Unknown,Pennsylvania,-78.565518,40.283871
2145,Bamberg,South Carolina,-81.0348202,33.2971012
2146,Humphreys,Tennessee,-87.7721645,36.018558
2147,Brunswick,Virginia,-77.8705464,36.6476474
2148,Buckingham,Virginia,-78.5555608,37.5501459
2149,Campbell,Virginia,-78.3022287,38.0318056
2150,Carroll,Virginia,-93.3328081,39.4721089
2151,Clarke,Virginia,-77.9926448,39.119728
2152,Franklin city,Virginia,-75.3835302,38.0078996
2153,King and Queen,Virginia,-76.8794158,37.7196754
2154,Page,Virginia,-81.2698303,38.0528865
2155,Surry,Virginia,-76.834945,37.1381363
2156,Waynesboro city,Virginia,-78.8893999,38.0686668
2157,Hardy,West Virginia,-81.0275871,37.3103969
2158,Ashland,Wisconsin,-90.6802594,46.2062319
2159,Buffalo,Wisconsin,-91.7547858,44.4073658
2160,Oconto,Wisconsin,-87.8645473,44.8872124
2161,Clarke,Alabama,-87.8192486,31.659134
2162,Conecuh,Alabama,-86.9437104,31.3966783
2163,Dale,Alabama,-85.623763,31.3940969
2164,Carroll,Arkansas,-93.5093048,36.3386737
2165,Lee,Arkansas,-90.7759619,34.7836833
2166,Gulf,Florida,-85.2175889,29.9665252
2167,Hardee,Florida,-81.8196804,27.4856349
2168,Madison,Florida,-83.4524524,30.4514352
2169,Okeechobee,Florida,-80.8873655,27.3923408
2170,Lanier,Georgia,-81.5367784,32.1299246
2171,Putnam,Georgia,-84.4179713,32.2587666
2172,Union,Georgia,-83.2504324,32.0979534
2173,Gooding,Idaho,-114.8286924,43.0031041
2174,Latah,Idaho,-116.693441,46.8171611
2175,Massac,Illinois,-88.7163312,37.2177417
2176,Vermilion,Illinois,-87.7323857,40.1749809
2177,Jay,Indiana,-85.0212356,40.4370864
2178,Unknown,Indiana,-110.8179457,32.196189
2179,Madison,Iowa,-94.0167968,41.3133406
2180,Mitchell,Iowa,-92.8676954,43.321914
2181,Unknown,Iowa,-91.57334352186675,41.66586935
2182,Pratt,Kansas,-98.7485305,37.6280602
2183,Hancock,Maine,-68.253937,44.529311
2184,Dorchester,Maryland,-76.6864432,39.3321017
2185,Unknown,Maryland,-76.57031896684782,39.5165796
